,Product_Name,Source,Ratings,Brand,Price,Actual_price,Category
1582,Wybor Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/2340037/7e/da/32whsc9front.jpg.7565227eda.999x185x185.jpg,4.5 - 5.0,Wybor,"10,298.00","22,990.00",Television TV 
1583,VOLTRIQ Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/6408256/e3/d0/1.1.jpg.80b7aee3d0.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,275.00","29,900.00",Television TV 
1584,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/4673235/58/d8/front4copy2.jpg.41852a58d8.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,279.00","21,990.00",Television TV 
1585,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/23/c1/0.9.jpg.4c49c523c1.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,285.00","29,900.00",Television TV 
1586,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/d8/63/0.91.jpg.0448c5d863.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,290.00","29,900.00",Television TV 
1587,TRION Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/7102866/2b/48/ledtvimage43inch.jpeg.5186fa2b48.999x185x185.jpg,4.0 - 4.49,TRION,"10,294.02","18,926.00",Television TV 
1588,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/ee/5a/front1copy2copy.jpg.3f8a33ee5a.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,353.00","21,990.00",Television TV 
1589,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/dc/7b/2.71.jpg.011d28dc7b.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,354.00","29,900.00",Television TV 
1590,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/11/98/front2copy2copy.jpg.5bb5bd1198.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,356.00","21,990.00",Television TV 
1591,TRION Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/7102866/3b/90/35.png.7d3be13b90.999x185x185.jpg,4.0 - 4.49,TRION,"10,364.00","25,900.00",Television TV 
1592,TRION Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/7102866/3b/90/35.png.7d3be13b90.999x185x185.jpg,4.0 - 4.49,TRION,"10,364.00","29,500.00",Television TV 
1593,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/49/9a/1.3.jpg.c17d94499a.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,390.00","29,900.00",Television TV 
1594,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/5a/e6/image2copycopy2.jpg.36d8ea5ae6.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,393.00","21,990.00",Television TV 
1595,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/5f/73/0.4.jpg.978af55f73.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,350.00","29,900.00",Television TV 
1596,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/6a/e3/0.1.jpg.28aa106ae3.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,380.00","29,900.00",Television TV 
1597,VOLTRIQ Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/6408256/c3/85/1.994.jpg.efbab3c385.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,380.00","29,900.00",Television TV 
1598,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/bb/5a/front5copycopy.jpg.68982abb5a.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,381.00","21,990.00",Television TV 
1599,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/10/e7/front3copycopy.jpg.62cb6a10e7.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,384.00","21,990.00",Television TV 
1600,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/7a/73/1.94.jpg.12f65d7a73.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,418.00","29,900.00",Television TV 
1601,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/58/d8/front4copy2.jpg.41852a58d8.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,421.00","21,990.00",Television TV 
1602,VOLTRIQ Basic Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/5f/73/0.4.jpg.978af55f73.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,467.00","29,900.00",Television TV 
1603,HYPHER  UNINTERN JOBS PRIVATE LIMITED Basic Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/5a/e6/image2copy.jpg.36d8ea5ae6.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,469.00","21,990.00",Television TV 
1604,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 24 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/58/d8/front4copy2.jpg.41852a58d8.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,490.00","14,990.00",Television TV 
1605,T SERIES Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/7207044/af/43/s3201bl.jpg.8e1771af43.999x185x185.jpg,4.5 - 5.0,T-SERIES,"10,490.00","19,990.00",Television TV 
1606,LG Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/3315218/f8/cc/download.jpg.5579c1f8cc.999x185x185.jpg,4.0 - 4.49,LG,"50,000.00","56,000.00",Television TV 
1607,VOLTRIQ Smart Television Tv 24 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/57/74/1.4.jpg.2478d75774.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,488.00","19,900.00",Television TV 
1608,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/03/69/3.1.jpg.a291f20369.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,572.00","29,900.00",Television TV 
1609,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/5f/da/front.jpg.9d6a915fda.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,574.00","21,990.00",Television TV 
1610,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/ee/5a/front1copy2copy.jpg.3f8a33ee5a.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,580.00","21,990.00",Television TV 
1611,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/6a/e3/0.1.jpg.28aa106ae3.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"10,613.00","29,900.00",Television TV 
1612,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/4673235/5f/da/frontcopy2.jpg.9d6a915fda.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"10,613.00","21,990.00",Television TV 
